Report_key,Date,Category,Coalition_forces_wounded,Coalition_forces_killed,Iraq_forces_wounded,Iraq_forces_killed,Civilian_wia,Civilian_kia,Enemy_wia,Enemy_kia,Enemy_detained,Total_deaths,Latitude,Longitude
9593,1/2/04,Direct Fire,1,1,0,0,0,0,0,0,0,1,33.33746338,43.75668335
9633,1/2/04,Indirect Fire,5,1,0,0,0,0,0,0,3,1,33.99126434,44.18058395
9808,1/4/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,36.37361908,42.45400238
9832,1/5/04,Direct Fire,0,0,0,0,1,2,0,0,0,2,33.39793396,43.76017761
9851,1/5/04,Direct Fire,0,0,0,1,0,0,1,0,0,1,36.37279892,43.14282608
9863,1/5/04,Direct Fire,0,0,0,0,0,6,0,0,0,6,32.98709488,44.25934219
9974,1/7/04,Direct Fire,0,0,0,0,0,0,0,1,11,1,34.10907364,43.89625931
9994,1/7/04,Direct Fire,0,0,2,0,0,0,0,1,0,1,33.32374191,44.3527298
10006,1/7/04,Indirect Fire,30,1,0,0,0,0,0,0,0,1,33.29936218,44.20090485
10068,1/8/04,Direct Fire,0,0,0,0,2,1,0,0,0,1,34.01029205,44.05456161
10067,1/8/04,Direct Fire,0,0,0,0,0,0,1,2,0,2,34.19083405,43.89248276
10076,1/8/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,34.61815262,43.67250443
10162,1/9/04,Attack,0,0,0,0,0,0,3,1,1,1,35.4641304,44.3662796
10177,1/10/04,Direct Fire,0,0,0,0,0,0,1,1,0,1,30.90330696,47.1135788
10263,1/11/04,Direct Fire,0,0,2,1,0,0,0,0,1,1,31.6308403,43.94553757
10233,1/11/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,30.90518188,46.45450211
10324,1/12/04,Direct Fire,0,0,0,0,0,0,0,1,5,1,33.43250656,43.32144547
10337,1/12/04,Direct Fire,0,0,1,1,0,0,0,0,0,1,36.37988663,43.19127274
10412,1/13/04,Direct Fire,0,0,0,0,0,0,1,4,26,4,33.97808838,44.08956146
10416,1/13/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,33.24068832,44.38301086
10458,1/14/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.3230896,43.19301987
10447,1/14/04,Direct Fire,0,0,0,0,1,2,0,0,0,2,34.40781021,43.7350235
10446,1/14/04,Direct Fire,2,0,0,0,0,0,0,2,0,2,34.23222351,43.76002121
10463,1/14/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.39957428,43.15467834
10467,1/14/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,34.246521,45.14661026
10550,1/15/04,Indirect Fire,0,0,0,0,0,0,0,1,0,1,33.34360123,44.29717636
10553,1/15/04,Direct Fire,0,0,0,0,0,0,0,2,0,2,34.39348221,41.00050735
10592,1/16/04,Indirect Fire,0,0,0,0,1,1,0,0,0,1,32.52408981,44.43131256
10697,1/17/04,Direct Fire,0,0,0,0,1,1,0,0,0,1,36.37558746,43.1483345
10779,1/18/04,Direct Fire,0,0,3,1,0,0,0,0,0,1,34.00575638,44.0513649
10784,1/18/04,Direct Fire,0,0,0,0,0,0,1,1,0,1,35.278862,43.23114395
10815,1/19/04,Direct Fire,0,0,0,1,0,0,0,0,0,1,36.39692688,43.18796539
10877,1/19/04,Direct Fire,0,0,1,1,0,0,0,0,0,1,33.42879868,43.37898254
10922,1/20/04,Attack,0,0,0,0,0,0,0,1,0,1,34.02980804,44.01318741
10929,1/20/04,Direct Fire,0,0,0,0,0,0,0,2,1,2,33.32502365,44.18000031
10984,1/21/04,Indirect Fire,3,2,0,0,2,0,0,0,0,2,33.7767067,44.54789352
11053,1/21/04,Direct Fire,0,0,0,0,0,0,0,1,0,1,32.8315239,44.34504318
11121,1/23/04,Direct Fire,0,0,0,1,0,1,0,0,0,2,33.9769249,44.92746735
11213,1/24/04,Direct Fire,1,0,0,0,0,0,0,2,0,2,36.31283951,43.11306381
11201,1/24/04,Direct Fire,0,1,0,0,0,0,0,0,6,1,34.92947006,43.49756241
11279,1/25/04,Direct Fire,0,0,1,3,0,0,0,0,0,3,33.44733047,43.28181839
11284,1/25/04,Direct Fire,0,0,0,0,0,0,2,1,0,1,35.45972061,44.38504791
11349,1/26/04,Direct Fire,0,0,2,1,0,0,0,0,2,1,32.6014328,44.01625824
11356,1/26/04,Direct Fire,0,0,0,0,0,0,1,1,0,1,33.25843048,44.39555359
11425,1/27/04,Direct Fire,0,0,0,0,1,2,0,0,0,2,32.95787048,44.35695267
11424,1/27/04,Direct Fire,0,0,0,0,0,1,0,0,0,1,34.1329422,42.3789711
11438,1/27/04,Direct Fire,0,0,0,0,0,0,1,1,2,1,34.71959686,44.66252518
11506,1/28/04,Direct Fire,0,0,0,0,1,1,0,0,0,1,36.38502502,43.17597961
11601,1/29/04,Attack,0,0,1,0,0,0,0,1,2,1,33.42743683,43.27790833
11647,1/30/04,Attack,0,0,0,0,0,0,0,1,0,1,33.92450333,44.81715775
