"","Date","Am_YES","Am_NO","AM_YES_s","AM_NO_s","month_id","IR_right","IR_wrong","IR_right_s","IR_wrong_s","Source","Am_poll","Ir_poll","n_attacks","n_attacks_l1","n_attacks_l2","n_attacks_l3","civdeaths","coaldeaths","Iraqdeaths","civdeaths_l1","civdeaths_l2","civdeaths_l3","coaldeaths_l1","coaldeaths_l2","coaldeaths_l3","Iraqdeaths_l1","Iraqdeaths_l2","Iraqdeaths_l3"
"1","3-Nov",39,60,39,60,NA,NA,NA,NA,NA,"",-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","3-Dec",NA,NA,40.5,58,NA,67,8,67,8,"Gallup",-17.5,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1-Jan",42,56,42,56,1,NA,NA,63.8,14.2,"",-14,49.6,82,NA,NA,NA,286,97,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","4-Feb",NA,NA,42,56.33333333,2,NA,NA,60.6,20.4,"",-14.33333333,40.2,78,82,NA,NA,632,105,154,286,NA,NA,97,NA,NA,46,NA,NA
"5","4-Mar",NA,NA,42,56.66666667,3,NA,NA,57.4,26.6,"",-14.66666667,30.8,111,78,82,NA,560,102,77,632,286,NA,105,97,NA,154,46,NA
"6","4-Apr",42,57,42,57,4,NA,NA,54.2,32.8,"",-15,21.4,242,111,78,82,447,335,95,560,632,286,102,105,97,77,154,46
"7","4-May",44,54,44,54,5,51,39,51,39,"International Republican Institute",-10,12,NA,242,111,78,0,0,0,447,560,632,335,102,105,95,77,154
"8","4-Jun",47.5,51,47.5,51,6,51,39,51,39,"International Republican Institute",-3.5,12,188,NA,242,111,943,167,209,0,447,560,0,335,102,0,95,77
"9","4-Jul",52,46,52,46,7,51,31,51,31,"International Republican Institute",6,20,150,188,NA,242,545,201,199,943,0,447,167,0,335,209,0,95
"10","4-Aug",48,50,48,50,8,51,31,51,31,"International Republican Institute",-2,20,310,150,188,NA,443,226,263,545,943,0,201,167,0,199,209,0
"11","4-Sep",40,56,40,56,9,42,45,42,45,"International Republican Institute",-16,-3,209,310,150,188,728,268,261,443,545,943,226,201,167,263,199,209
"12","4-Oct",46.2,51.8,46.2,51.8,10,42,45,42,45,"International Republican Institute",-5.6,-3,214,209,310,150,444,194,266,728,443,545,268,226,201,261,263,199
"13","4-Nov",47,51,47,51,11,54,43,54,43,"International Republican Institute",-4,11,292,214,209,310,415,291,310,444,728,443,194,268,226,266,261,263
"14","4-Dec",NA,NA,49,49.25,12,49,39,49,39,"International Republican Institute",-0.25,10,201,292,214,209,617,214,284,415,444,728,291,194,268,310,266,261
"15","5-Jan",51,47.5,51,47.5,13,52,34,52,34,"International Republican Institute",3.5,18,288,201,292,214,577,165,490,617,415,444,214,291,194,284,310,266
"16","5-Feb",46,53,46,53,14,62,23,62,23,"International Republican Institute",-7,39,210,288,201,292,827,151,324,577,617,415,165,214,291,490,284,310
"17","5-Mar",46,51,46,51,15,62,23,62,23,"International Republican Institute",-5,39,193,210,288,201,467,117,270,827,577,617,151,165,214,324,490,284
"18","5-Apr",49,48,49,48,16,67,20,67,20,"International Republican Institute",1,47,220,193,210,288,518,210,373,467,827,577,117,151,165,270,324,490
"19","5-May",NA,NA,51,47,17,NA,NA,60.66666667,26.33333333,"",4,34.33333334,273,220,193,210,1414,206,391,518,467,827,210,117,151,373,270,324
